first_inspection,name,cuisine,borough,building,street,zipcode,phone,camis
2026-05-20,JOE & THE JUICE,"Juice, Smoothies, Fruit Salads",Manhattan,315,Hudson Street,10013,8457424505,50178156
2026-05-20,CHOJI,Coffee/Tea,Manhattan,46,East    8 Street,10003,9172502102,50175886
2026-05-19,ARVACI COFFEE,Coffee/Tea,Manhattan,123,West    3 Street,10012,5187094680,50183358
2026-05-19,GO GREEK YOGURT,Frozen Desserts,Manhattan,683,Broadway,10012,9292178365,50183591
2026-05-19,JEF'S EXPRESS,American,Manhattan,520,Madison Avenue,10022,7043286780,50176042
2026-05-19,LATHMAN & WATKINS,American,Manhattan,1271,Avenue Of The Americas,10020,7327785266,50180745
2026-05-19,MAZI,Greek,Brooklyn,82,6 Avenue,11217,3479358382,50182821
2026-05-19,NEW ABSOLUTE BAGELS,Bagels/Pretzels,Manhattan,2788,Broadway,10025,6464227727,50180783
2026-05-18,LUCYS COFFEE,Mexican,Brooklyn,2105,Atlantic Avenue,11233,3473610613,50174576
2026-05-18,DEMO/GREENBERG'S BAGELS,New American,Manhattan,34,Carmine Street,10014,9293167809,50145942
2026-05-18,CHIPOTLE MEXICAN GRILL #3056,Tex-Mex,Brooklyn,1628,Shore Parkway,11214,3479292754,50179331
2026-05-18,HAN DYNASTY,Chinese,Manhattan,98,3 Avenue,10003,2123908685,50183388
2026-05-18,DOSA ROYALE,Indian,Brooklyn,65,Lafayette Avenue,11217,3473937295,50176857
2026-05-18,BEEF UP NOODLE 2,Chinese,Manhattan,98,8 Avenue,10011,5167085828,50184939
2026-05-18,NOUNOU NOODLE BAR,Other,Manhattan,71,1 Avenue,10003,9296494265,50182190
2026-05-16,BRIDGES,New French,Manhattan,9,Chatham Square,10038,9172758249,50155980
2026-05-16,BOGART HOUSE,American,Brooklyn,360,Ten Eyck St    Aka 230 Bogart St,11206,6467097854,50047107
2026-05-16,AMARONE,Italian,Manhattan,686,9 Avenue,10036,9084144646,50164784
2026-05-16,HANAYA OMAKASE,Japanese,Manhattan,630,9 Avenue,10036,6465758177,50176683
2026-05-16,NINO'S PIZZERIA,Pizza,Brooklyn,112,Graham Avenue,11206,8626686168,50178201
2026-05-16,THE PARIS CAFE,New French,Manhattan,119,South Street,10038,6463867038,50184091
2026-05-16,KITARO,Coffee/Tea,Brooklyn,12,Belvidere Street,11206,2012818952,50179706
2026-05-16,KARAOKE CITY,American,Manhattan,22,West   32 Street,10001,6467615720,50180714
2026-05-15,NACHA FOCACCIA,Fusion,Brooklyn,800,Franklin Avenue,11238,5163103008,50182320
2026-05-15,MCDONALD'S,Hamburgers,Manhattan,404,East   14 Street,10009,2125980045,50183869
2026-05-15,THE CROWN,Asian/Asian Fusion,Manhattan,50,Bowery,10013,6466308068,50173346
2026-05-15,HARLEM AMOR,Other,Manhattan,2082,Frederick Douglass Boulevard,,6462993560,50176000
2026-05-14,LE GIGOT,French,Manhattan,18,Cornelia Street,10014,2126273737,40544528
2026-05-14,AUNTY JENNY,Chinese,Manhattan,2794,Broadway,10025,9173063883,50181693
2026-05-14,BAKE AND SCOOP,Bakery Products/Desserts,Brooklyn,6920,3 Avenue,11209,7184271714,50182931
2026-05-14,COSTELLO'S CLADDAGH INN,Irish,Brooklyn,3042,Nostrand Avenue,11229,7183779798,40578092
2026-05-14,MARISCOS EL SUBMARINO,Other,Brooklyn,226,7 Avenue,11215,3472618162,50182243
2026-05-14,BEA,American,Manhattan,403,West   43 Street,10036,2126021910,50002202
2026-05-14,APERITIVO DI PALMA,American,Manhattan,30,Cornelia Street,10014,2126912223,50006594
2026-05-14,SUNSET STOOP,Latin American,Brooklyn,4114,5 Avenue,11232,9177559382,50142010
2026-05-14,HAAGEN DAZS,Frozen Desserts,Brooklyn,1105,Brighton Beach Avenue,11235,9298103550,50176409
2026-05-14,MOON AND BACK,Thai,Manhattan,117,West   10 Street,10011,2126494995,50180219
2026-05-14,HINDS HALL,Middle Eastern,Manhattan,941,Amsterdam Avenue,10025,7189125358,50182998
2026-05-14,BRISSTA,Other,Manhattan,199,11 Avenue,10011,9132719446,50185246
2026-05-14,HASALON,Mediterranean,Manhattan,735,10 Avenue,10019,2124959024,50090101
