first_inspection,name,cuisine,borough,building,street,zipcode,phone,camis,website,domain,email,all_emails
2026-05-20,JOE & THE JUICE,"Juice, Smoothies, Fruit Salads",Manhattan,315,Hudson Street,10013,8457424505,50178156,https://www.joejuice.com/,joejuice.com,mathilde@joejuice.com,mathilde@joejuice.com; sarah.stenius@joejuice.com; lorentzen@joejuice.com; rosenstand@joejuice.com; vainius@joejuice.com; lauritz@joejuice.com; kasper@joejuice.com; bjarne.timm@joejuice.com; graham.fenwick@joejuice.com; lucy.covey@joejuice.com
2026-05-20,CHOJI,Coffee/Tea,Manhattan,46,East    8 Street,10003,9172502102,50175886,,,,
2026-05-19,ARVACI COFFEE,Coffee/Tea,Manhattan,123,West    3 Street,10012,5187094680,50183358,https://www.arvacicoffeenyc.com/,arvacicoffeenyc.com,,
2026-05-19,GO GREEK YOGURT,Frozen Desserts,Manhattan,683,Broadway,10012,9292178365,50183591,https://gogreekyogurt.com/,gogreekyogurt.com,joliva@gogreekyogurt.com,joliva@gogreekyogurt.com; events@gogreekyogurt.com; info@gogreekyogurt.com; marketing@gogreekyogurt.com
2026-05-19,JEF'S EXPRESS,American,Manhattan,520,Madison Avenue,10022,7043286780,50176042,,,,
2026-05-19,LATHMAN & WATKINS,American,Manhattan,1271,Avenue Of The Americas,10020,7327785266,50180745,http://www.lw.com/,lw.com,annie.pham@lw.com,annie.pham@lw.com; kristen.park@lw.com; sandra.benjamin@lw.com; mohammed.shaheen@lw.com; amanda.fortuna@lw.com; robert.brown@lw.com; daniel.sinaiko@lw.com; taba.guzman@lw.com; amanda.clark@lw.com; michael.waldman@lw.com
2026-05-19,MAZI,Greek,Brooklyn,82,6 Avenue,11217,3479358382,50182821,,,,
2026-05-19,NEW ABSOLUTE BAGELS,Bagels/Pretzels,Manhattan,2788,Broadway,10025,6464227727,50180783,,,,
2026-05-18,LUCYS COFFEE,Mexican,Brooklyn,2105,Atlantic Avenue,11233,3473610613,50174576,,,,
2026-05-18,DEMO/GREENBERG'S BAGELS,New American,Manhattan,34,Carmine Street,10014,9293167809,50145942,https://order.chownow.com/order/38789/locations/59036,order.chownow.com,,
2026-05-18,CHIPOTLE MEXICAN GRILL #3056,Tex-Mex,Brooklyn,1628,Shore Parkway,11214,3479292754,50179331,https://locations.chipotle.com/ny/brooklyn/1628-shore-pkwy?utm_source=google&utm_medium=yext&utm_campaign=yext_listings?restaurant=5544,locations.chipotle.com,,
2026-05-18,HAN DYNASTY,Chinese,Manhattan,98,3 Avenue,10003,2123908685,50183388,http://handynasty.net/east-village/,handynasty.net,,
2026-05-18,DOSA ROYALE,Indian,Brooklyn,65,Lafayette Avenue,11217,3473937295,50176857,http://www.dosaroyale.com/,dosaroyale.com,,
2026-05-18,BEEF UP NOODLE 2,Chinese,Manhattan,98,8 Avenue,10011,5167085828,50184939,https://www.unclehuihui.com/restaurant/tangy-noodle/location,unclehuihui.com,,
2026-05-18,NOUNOU NOODLE BAR,Other,Manhattan,71,1 Avenue,10003,9296494265,50182190,http://www.nounounyc.com/,nounounyc.com,,
2026-05-16,BRIDGES,New French,Manhattan,9,Chatham Square,10038,9172758249,50155980,https://www.bridges-nyc.com/,bridges-nyc.com,,
2026-05-16,BOGART HOUSE,American,Brooklyn,360,Ten Eyck St    Aka 230 Bogart St,11206,6467097854,50047107,http://www.bogarthouse.com/,bogarthouse.com,,
2026-05-16,AMARONE,Italian,Manhattan,686,9 Avenue,10036,9084144646,50164784,http://amaroneristorante.com/,amaroneristorante.com,,
2026-05-16,HANAYA OMAKASE,Japanese,Manhattan,630,9 Avenue,10036,6465758177,50176683,,,,
2026-05-16,NINO'S PIZZERIA,Pizza,Brooklyn,112,Graham Avenue,11206,8626686168,50178201,https://www.ninospizzeriabrooklyn.com/,ninospizzeriabrooklyn.com,,
2026-05-16,THE PARIS CAFE,New French,Manhattan,119,South Street,10038,6463867038,50184091,https://www.pariscafenyc.com/,pariscafenyc.com,,
2026-05-16,KITARO,Coffee/Tea,Brooklyn,12,Belvidere Street,11206,2012818952,50179706,https://www.kitarocafe.com/,kitarocafe.com,,
2026-05-16,KARAOKE CITY,American,Manhattan,22,West   32 Street,10001,6467615720,50180714,http://www.karaokecitynyc.com/,karaokecitynyc.com,,
2026-05-15,NACHA FOCACCIA,Fusion,Brooklyn,800,Franklin Avenue,11238,5163103008,50182320,https://nachafocaccia.com/,nachafocaccia.com,,
2026-05-15,MCDONALD'S,Hamburgers,Manhattan,404,East   14 Street,10009,2125980045,50183869,https://www.mcdonalds.com/us/en-us/location/NY/NEW-YORK/404-E-14TH-ST/13064.html?cid=RF:YXT:GMB::Clicks,mcdonalds.com,,
2026-05-15,THE CROWN,Asian/Asian Fusion,Manhattan,50,Bowery,10013,6466308068,50173346,https://www.thecrownnyc.com/,thecrownnyc.com,,
2026-05-15,HARLEM AMOR,Other,Manhattan,2082,Frederick Douglass Boulevard,,6462993560,50176000,http://kclcuisine.com/,kclcuisine.com,,
2026-05-14,LE GIGOT,French,Manhattan,18,Cornelia Street,10014,2126273737,40544528,http://legigotrestaurant.com/,legigotrestaurant.com,,
2026-05-14,AUNTY JENNY,Chinese,Manhattan,2794,Broadway,10025,9173063883,50181693,https://www.auntjennyexpress.com/,auntjennyexpress.com,,
2026-05-14,BAKE AND SCOOP,Bakery Products/Desserts,Brooklyn,6920,3 Avenue,11209,7184271714,50182931,,,,
2026-05-14,COSTELLO'S CLADDAGH INN,Irish,Brooklyn,3042,Nostrand Avenue,11229,7183779798,40578092,,,,
2026-05-14,MARISCOS EL SUBMARINO,Other,Brooklyn,226,7 Avenue,11215,3472618162,50182243,https://mariscoselsubmarinonyc.com/,mariscoselsubmarinonyc.com,,
2026-05-14,BEA,American,Manhattan,403,West   43 Street,10036,2126021910,50002202,http://www.beanyc.com/,beanyc.com,,
2026-05-14,APERITIVO DI PALMA,American,Manhattan,30,Cornelia Street,10014,2126912223,50006594,https://www.palmanyc.com/,palmanyc.com,,
2026-05-14,SUNSET STOOP,Latin American,Brooklyn,4114,5 Avenue,11232,9177559382,50142010,https://sunsetstoop.com/,sunsetstoop.com,,
2026-05-14,HAAGEN DAZS,Frozen Desserts,Brooklyn,1105,Brighton Beach Avenue,11235,9298103550,50176409,https://www.icecream.com/us/en/brands/haagen-dazs,icecream.com,,
2026-05-14,MOON AND BACK,Thai,Manhattan,117,West   10 Street,10011,2126494995,50180219,https://www.moonandbacknyc.com/,moonandbacknyc.com,,
2026-05-14,HINDS HALL,Middle Eastern,Manhattan,941,Amsterdam Avenue,10025,7189125358,50182998,https://www.ayatnyc.com/location/hinds-hall/,ayatnyc.com,,
2026-05-14,BRISSTA,Other,Manhattan,199,11 Avenue,10011,9132719446,50185246,,,,
2026-05-14,HASALON,Mediterranean,Manhattan,735,10 Avenue,10019,2124959024,50090101,https://www.hasalonnyc.com/,hasalonnyc.com,,
2026-05-14,MTSKHETA-USA INC,Eastern European,Brooklyn,2812,Ocean Avenue,11229,7186761868,50173490,https://www.facebook.com/Mtskheta-Cafe-196702580341113/,facebook.com,,
2026-05-14,BOJANGLES,American,Brooklyn,5910,Church Avenue,11203,3473950360,50177801,https://locations.bojangles.com/ny/brooklyn/5910-church-avenue-1528.html,locations.bojangles.com,,
2026-05-14,ANTS COFFEE,Coffee/Tea,Brooklyn,718,Lorimer Street,11211,9292417798,50182098,https://www.antscoffee.nyc/,antscoffee.nyc,,
2026-05-14,HALAL CHICKS & PLATTERS,American,Manhattan,3878,Broadway,10032,9293618669,50184119,,,,
2026-05-14,LAMONTE PIZZA,Pizza,Brooklyn,558,Driggs Avenue,11211,7185550123,50181359,https://lamontepizza.com/,lamontepizza.com,,
2026-05-14,BK PIZZA,Bangladeshi,Brooklyn,1491,Broadway,11221,6466427988,50184280,https://www.bkpizzamenu.com/?utm_source=gbp,bkpizzamenu.com,,
2026-05-13,BAOS & BOWLS,Chinese,Manhattan,401,East   13 Street,10009,6463704725,50175219,http://baosandbowls.com/,baosandbowls.com,,
2026-05-13,GROWL GROWL HOT POT & COCKTAIL,Korean,Manhattan,11,West   36 Street,10018,6463211090,50179744,https://www.growlgrowl.com/,growlgrowl.com,,
